,total_value
2014-12-05,1179072.0699999998
2014-12-08,1203855.0699999998
2014-12-09,1154658.0699999998
2014-12-10,1179780.0699999998
2014-12-11,1175499.0699999998
2014-12-12,1179228.0699999998
2014-12-15,1183803.0699999998
2014-12-16,1204233.0699999998
2014-12-17,1216083.0699999998
2014-12-18,1215033.0699999998
2014-12-19,1230357.0699999998
2014-12-22,1236012.0699999998
2014-12-23,1207560.0699999998
2014-12-24,1189536.0699999998
2014-12-25,1219539.0699999998
2014-12-26,1245057.0699999998
2014-12-29,1248183.0699999998
2014-12-30,1247520.0699999998
2014-12-31,1268181.0699999998
2015-01-05,1302933.0699999998
2015-01-06,1303212.0699999998
2015-01-07,1309962.0699999998
2015-01-08,1285815.0699999998
2015-01-09,1283400.0699999998
2015-01-12,1266573.0699999998
2015-01-13,1268367.0699999998
2015-01-14,1264509.0699999998
2015-01-15,1298715.0699999998
2015-01-16,1310727.0699999998
2015-01-19,1232682.0699999998
2015-01-20,1249692.0699999998
2015-01-21,1294860.0699999998
2015-01-22,1300779.0699999998
2015-01-23,1303305.0699999998
2015-01-26,1312731.0699999998
2015-01-27,1303665.0699999998
2015-01-28,1289499.0699999998
2015-01-29,1276467.0699999998
2015-01-30,1260885.0699999998
2015-02-02,1236267.0699999998
2015-02-03,1259250.0699999998
2015-02-04,1250016.0699999998
2015-02-05,1238736.0699999998
2015-02-06,1220550.0699999998
2015-02-09,1215911.0169999998
2015-02-10,1215911.0169999998
2015-02-11,1215911.0169999998
2015-02-12,1215911.0169999998
2015-02-13,1215911.0169999998
2015-02-16,1215911.0169999998
2015-02-17,1215911.0169999998
2015-02-25,1215911.0169999998
2015-02-26,1215911.0169999998
2015-02-27,1215911.0169999998
2015-03-02,1215911.0169999998
2015-03-03,1215911.0169999998
2015-03-04,1215911.0169999998
2015-03-05,1215911.0169999998
2015-03-06,1215911.0169999998
2015-03-09,1215911.0169999998
2015-03-10,1215911.0169999998
2015-03-11,1215911.0169999998
2015-03-12,1215911.0169999998
2015-03-13,1217923.1189999997
2015-03-16,1233201.1189999997
2015-03-17,1243911.1189999997
2015-03-18,1258801.1189999997
2015-03-19,1259795.1189999997
2015-03-20,1266805.1189999997
2015-03-23,1280887.1189999997
2015-03-24,1281623.1189999997
2015-03-25,1275487.1189999997
2015-03-26,1279759.1189999997
2015-03-27,1281560.3189999997
2015-03-30,1300655.1189999997
2015-03-31,1292921.1189999997
2015-04-01,1305399.1189999997
2015-04-02,1308497.1189999997
2015-04-03,1316127.1189999997
2015-04-07,1335617.1189999997
2015-04-08,1342303.1189999997
2015-04-09,1334847.1189999997
2015-04-10,1350203.1189999997
2015-04-13,1367683.1189999997
2015-04-14,1370453.119
2015-04-15,1360173.1189999997
2015-04-16,1382305.1189999997
2015-04-17,1400801.1189999997
2015-04-20,1386757.1189999997
2015-04-21,1402065.1189999997
2015-04-22,1423039.1189999997
2015-04-23,1426243.1189999997
2015-04-24,1422079.1189999995
2015-04-27,1448821.1189999995
2015-04-28,1438583.1189999997
