,year_rate
2014,0.2681810699999998
2015,0.12247209856239238
2016,-0.04301515683268686
2017,-0.0014921051942691221
2018,-0.06778079990736041
2019,0.10233721587592526
2020,0.12897822925975344
2021,-0.01667935506256768
